TZname,UTCoffset
Africa/Abidjan,0
Africa/Accra,0
Africa/Addis_Ababa,3
Africa/Algiers,1
Africa/Asmara,3
Africa/Bamako,0
Africa/Bangui,1
Africa/Banjul,0
Africa/Bissau,0
Africa/Blantyre,2
Africa/Brazzaville,1
Africa/Bujumbura,2
Africa/Cairo,2
Africa/Casablanca,1
Africa/Ceuta,1
Africa/Conakry,0
Africa/Dakar,0
Africa/Dar_es_Salaam,3
Africa/Djibouti,3
Africa/Douala,1
Africa/El_Aaiun,0
Africa/Freetown,0
Africa/Gaborone,2
Africa/Harare,2
Africa/Johannesburg,2
Africa/Juba,3
Africa/Kampala,3
Africa/Khartoum,2
Africa/Kigali,2
Africa/Kinshasa,1
Africa/Lagos,1
Africa/Libreville,1
Africa/Lome,0
Africa/Luanda,1
Africa/Lubumbashi,2
Africa/Lusaka,2
Africa/Malabo,1
Africa/Maputo,2
Africa/Maseru,2
Africa/Mbabane,2
Africa/Mogadishu,3
Africa/Monrovia,0
Africa/Nairobi,3
Africa/Ndjamena,1
Africa/Niamey,1
Africa/Nouakchott,0
Africa/Ouagadougou,0
Africa/Porto-Novo,1
Africa/Sao_Tome,0
Africa/Timbuktu,0
Africa/Tripoli,2
Africa/Tunis,1
Africa/Windhoek,2
America/Adak,-10
America/Anchorage,-9
America/Anguilla,-4
America/Antigua,-4
America/Araguaina,-3
America/Argentina/Buenos_Aires,-3
America/Argentina/Catamarca,-3
America/Argentina/ComodRivadavia,-3
America/Argentina/Cordoba,-3
America/Argentina/Jujuy,-3
America/Argentina/La_Rioja,-3
America/Argentina/Mendoza,-3
America/Argentina/Rio_Gallegos,-3
America/Argentina/Salta,-3
America/Argentina/San_Juan,-3
America/Argentina/San_Luis,-3
America/Argentina/Tucuman,-3
America/Argentina/Ushuaia,-3
America/Aruba,-4
America/Asuncion,-4
America/Atikokan,-5
America/Atka,-10
America/Bahia,-3
America/Bahia_Banderas,-6
America/Barbados,-4
America/Belem,-3
America/Belize,-6
America/Blanc-Sablon,-4
America/Boa_Vista,-4
America/Bogota,-5
America/Boise,-7
America/Buenos_Aires,-3
America/Cambridge_Bay,-7
America/Campo_Grande,-4
America/Cancun,-5
America/Caracas,-4
America/Catamarca,-3
America/Cayenne,-3
America/Cayman,-5
America/Chicago,-6
America/Chihuahua,-7
America/Coral_Harbour,-5
America/Cordoba,-3
America/Costa_Rica,-6
America/Creston,-7
America/Cuiaba,-4
America/Curacao,-4
America/Danmarkshavn,0
America/Dawson,-8
America/Dawson_Creek,-7
America/Denver,-7
America/Detroit,-5
America/Dominica,-4
America/Edmonton,-7
America/Eirunepe,-5
America/El_Salvador,-6
America/Ensenada,-8
America/Fort_Nelson,-7
America/Fort_Wayne,-5
America/Fortaleza,-3
America/Glace_Bay,-4
America/Godthab,-3
America/Goose_Bay,-4
America/Grand_Turk,-5
America/Grenada,-4
America/Guadeloupe,-4
America/Guatemala,-6
America/Guayaquil,-5
America/Guyana,-4
America/Halifax,-4
America/Havana,-5
America/Hermosillo,-7
America/Indiana/Indianapolis,-5
America/Indiana/Knox,-6
America/Indiana/Marengo,-5
America/Indiana/Petersburg,-5
America/Indiana/Tell_City,-6
America/Indiana/Vevay,-5
America/Indiana/Vincennes,-5
America/Indiana/Winamac,-5
America/Indianapolis,-5
America/Inuvik,-7
America/Iqaluit,-5
America/Jamaica,-5
America/Jujuy,-3
America/Juneau,-9
America/Kentucky/Louisville,-5
America/Kentucky/Monticello,-5
America/Knox_IN,-6
America/Kralendijk,-4
America/La_Paz,-4
America/Lima,-5
America/Los_Angeles,-8
America/Louisville,-5
America/Lower_Princes,-4
America/Maceio,-3
America/Managua,-6
America/Manaus,-4
America/Marigot,-4
America/Martinique,-4
America/Matamoros,-6
America/Mazatlan,-7
America/Mendoza,-3
America/Menominee,-6
America/Merida,-6
America/Metlakatla,-9
America/Mexico_City,-6
America/Miquelon,-3
America/Moncton,-4
America/Monterrey,-6
America/Montevideo,-3
America/Montreal,-5
America/Montserrat,-4
America/Nassau,-5
America/New_York,-5
America/Nipigon,-5
America/Nome,-9
America/Noronha,-2
America/North_Dakota/Beulah,-6
America/North_Dakota/Center,-6
America/North_Dakota/New_Salem,-6
America/Ojinaga,-7
America/Panama,-5
America/Pangnirtung,-5
America/Paramaribo,-3
America/Phoenix,-7
America/Port_of_Spain,-4
America/Port-au-Prince,-5
America/Porto_Acre,-5
America/Porto_Velho,-4
America/Puerto_Rico,-4
America/Punta_Arenas,-3
America/Rainy_River,-6
America/Rankin_Inlet,-6
America/Recife,-3
America/Regina,-6
America/Resolute,-6
America/Rio_Branco,-5
America/Rosario,-3
America/Santa_Isabel,-8
America/Santarem,-3
America/Santiago,-4
America/Santo_Domingo,-4
America/Sao_Paulo,-3
America/Scoresbysund,-1
America/Shiprock,-7
America/Sitka,-9
America/St_Barthelemy,-4
America/St_Johns,-3
America/St_Kitts,-4
America/St_Lucia,-4
America/St_Thomas,-4
America/St_Vincent,-4
America/Swift_Current,-6
America/Tegucigalpa,-6
America/Thule,-4
America/Thunder_Bay,-5
America/Tijuana,-8
America/Toronto,-5
America/Tortola,-4
America/Vancouver,-8
America/Virgin,-4
America/Whitehorse,-8
America/Winnipeg,-6
America/Yakutat,-9
America/Yellowknife,-7
Antarctica/Casey,11
Antarctica/Davis,7
Antarctica/DumontDUrville,10
Antarctica/Macquarie,11
Antarctica/Mawson,5
Antarctica/McMurdo,12
Antarctica/Palmer,-3
Antarctica/Rothera,-3
Antarctica/South_Pole,12
Antarctica/Syowa,3
Antarctica/Troll,0
Antarctica/Vostok,6
Arctic/Longyearbyen,1
Asia/Aden,3
Asia/Almaty,6
Asia/Amman,2
Asia/Anadyr,12
Asia/Aqtau,5
Asia/Aqtobe,5
Asia/Ashgabat,5
Asia/Ashkhabad,5
Asia/Atyrau,5
Asia/Baghdad,3
Asia/Bahrain,3
Asia/Baku,4
Asia/Bangkok,7
Asia/Barnaul,7
Asia/Beirut,2
Asia/Bishkek,6
Asia/Brunei,8
Asia/Calcutta,5
Asia/Chita,9
Asia/Choibalsan,8
Asia/Chongqing,8
Asia/Chungking,8
Asia/Colombo,5
Asia/Dacca,6
Asia/Damascus,2
Asia/Dhaka,6
